,Grid,TL - Aggregated,SUB - Aggregated,PC - Aggregated,Site - Aggregated
NAIVE,1.079,1.079,1.079,1.079,1.079
ARIMA,1.054,1.023,1.024,0.929,1.008
TBATS,1.875,1.749,1.706,1.544,1.683
PROPHET,1.962,1.967,1.967,1.08,1.09
CNN,1.15,1.169,1.172,1.198,1.17
LSTM,1.468,1.416,1.33,1.123,1.013
