,Grid,TL - Aggregated,SUB - Aggregated,PC - Aggregated,Site - Aggregated
NAIVE,0.3965041238428431,0.3965041238428431,0.3965041238428431,0.39650412384284306,0.39650412384284306
ARIMA,0.3604885973574808,0.34673791723819,0.3472883436134808,0.31814541816116665,0.3358448691063564
TBATS,0.568815440036228,0.5301626039525603,0.5172115824644526,0.4796227263138744,0.512242338766708
PROPHET,0.589810259593252,0.5913052140865176,0.591272299547771,0.3701723039131422,0.37032535308201564
CNN,0.377380092919877,0.38148387426162045,0.38206648791517106,0.39047288944725306,0.37784276340728884
LSTM,0.4703903558856143,0.4628670441309045,0.43433249218710446,0.35828865085204664,0.33299125289067605
