,Grid,TL - Aggregated,SUB - Aggregated,PC - Aggregated,Site - Aggregated
NAIVE,1.079391787981905,1.079391787981905,1.079391787981905,1.079391787981905,1.079391787981905
ARIMA,1.0542174171354002,1.023268311933142,1.024157068352861,0.929386914423518,1.0084912706608253
TBATS,1.8748277728587728,1.7491129158069132,1.706391431091947,1.5437416506766872,1.683218533714503
PROPHET,1.962394493488318,1.9665700550555816,1.966532036884485,1.0803983146720384,1.0899355671492128
CNN,1.150048520316878,1.1694360905458727,1.1717213662474213,1.198340986831758,1.1695815390243385
LSTM,1.4682344822944209,1.4161838663439736,1.3301243856811835,1.1232270030823759,1.0130934871185588
